Time to create 108901 pairs for Sorted Array: 244.269 seconds.
Time to search 4532 pairs for Sorted Array: 0.009686 seconds.

Pairs and their number of appearances:
[{martelli, is} apps: 1]
[{is, certain} apps: 1]
[{1, to} apps: 2]
[{ebook, was} apps: 1]
[{235, 239} apps: 3]
[{14, 17} apps: 4]
[{a, painter} apps: 20]
[{577, 581} apps: 2]
[{them, the} apps: 27]
[{granted, me} apps: 5]
[{them, later} apps: 1]
[{mr, holmes} apps: 1]
[{on, water} apps: 12]
[{while, the} apps: 36]
[{of, the} apps: 4417]
[{the, forms} apps: 30]
[{draperies, 390} apps: 2]
[{146, 147} apps: 1]
[{the, emotions} apps: 2]
[{673, allegorical} apps: 1]
[{the, best} apps: 17]
[{by, leonardo} apps: 63]
[{to, the} apps: 1381]
[{bibliography, at} apps: 1]
[{next, footnote} apps: 1]
[{at, deciphering} apps: 1]
[{ascertain, not} apps: 1]
[{that, the} apps: 462]
[{in, which} apps: 136]
[{148, 149} apps: 2]
[{shown, that} apps: 5]
[{his, investigations} apps: 4]
[{here, observed} apps: 1]
[{the, difficulty} apps: 1]
[{authoritative, clue} apps: 1]
[{and, shade} apps: 106]
[{of, oils} apps: 3]
[{of, which} apps: 119]
[{third, book} apps: 4]
[{of, leonardo} apps: 78]
[{the, subjects} apps: 4]
[{manuscripts, by} apps: 1]
[{itself, it} apps: 4]
[{useful, games} apps: 2]
[{marchese, trivulsi} apps: 1]
[{as, to} apps: 174]
[{found, on} apps: 4]
[{it, would} apps: 103]
[{representations, 674} apps: 2]
[{he, was} apps: 47]
[{272, the} apps: 1]
[{to, inspect} apps: 1]
[{representing, the} apps: 7]
[{suggestions, for} apps: 10]
[{martelli, di} apps: 1]
[{litta, famiglie} apps: 1]
[{is, to} apps: 158]
[{the, bibliography} apps: 5]
[{gutenberg, at} apps: 1]
[{that, the} apps: 462]
[{458, 464} apps: 3]
[{that, leonardo} apps: 67]
[{upon, the} apps: 34]
[{chalk, and} apps: 6]
[{aid, of} apps: 7]
[{by, beginning} apps: 1]
[{peculiarity, in} apps: 1]
[{pittura, for} apps: 1]
[{for, that} apps: 9]
[{remove, it} apps: 3]
[{the, arrangement} apps: 22]
[{a, beginner} apps: 1]
[{we, should} apps: 14]
[{index, the} apps: 1]
[{680, mottoes} apps: 1]
[{own, mss} apps: 1]
[{their, contents} apps: 5]
[{as, a} apps: 112]
[{career, 482} apps: 2]
[{them, together} apps: 7]
[{of, colours} apps: 24]
[{density, of} apps: 7]
[{450, 451} apps: 2]
[{battle, pieces} apps: 2]
[{which, would} apps: 11]
[{satisfactory, reading} apps: 1]
[{for, the} apps: 289]
[{or, by} apps: 15]
[{light, and} apps: 211]
[{only, point} apps: 1]
[{de, perdimenti} apps: 5]
[{original, text} apps: 11]
[{perspective, 90} apps: 2]
[{by, the} apps: 724]
[{them, for} apps: 11]
[{by, one} apps: 11]
[{o, reader} apps: 2]
[{figure, 338} apps: 2]
[{in, a} apps: 273]
[{of, all} apps: 68]
[{to, have} apps: 91]
[{on, the} apps: 988]
[{landscapes, 458} apps: 2]
[{of, the} apps: 4417]
[{it, is} apps: 689]
[{contain, besides} apps: 1]
[{work, of} apps: 17]
[{the, marchese} apps: 5]
[{the, various} apps: 45]
[{from, early} apps: 1]
[{at, the} apps: 466]
[{680, mottoes} apps: 1]
[{of, some} apps: 35]
[{parts, without} apps: 1]
[{454, 457} apps: 1]
[{for, this} apps: 34]
[{termination, of} apps: 4]
[{here, reproduced} apps: 9]
[{distribution, of} apps: 14]
[{540, 547} apps: 2]
[{added, to} apps: 15]
[{shadow, 163} apps: 2]
[{the, order} apps: 25]
[{paragraphs, appear} apps: 1]
[{defined, in} apps: 3]
[{light, for} apps: 15]
[{preface, a} apps: 1]
[{proportion, of} apps: 20]
[{3, let} apps: 1]
[{in, the} apps: 1787]
[{of, different} apps: 13]
[{593, 600} apps: 2]
[{the, road} apps: 8]
[{observed, that} apps: 6]
[{it, is} apps: 689]
[{a, guiding} apps: 2]
[{with, the} apps: 412]
[{fatality, has} apps: 1]
[{louvre, at} apps: 1]
[{such, cases} apps: 2]
[{in, its} apps: 77]
[{estimate, of} apps: 6]
[{of, the} apps: 4417]
[{a, suggestion} apps: 1]
[{any, particular} apps: 4]
[{in, rude} apps: 1]
[{labours, in} apps: 2]
[{considerable, completeness} apps: 1]
[{the, methods} apps: 3]
[{distances, 182} apps: 2]
[{mr, maude} apps: 1]
[{the, eye} apps: 521]
[{of, the} apps: 4417]
[{the, original} apps: 202]
[{5, 8} apps: 3]
[{for, historical} apps: 3]
[{has, no} apps: 35]
[{is, the} apps: 373]
[{copy, a} apps: 1]
[{book, on} apps: 38]
[{in, front} apps: 75]
[{size, of} apps: 56]
[{to, certain} apps: 2]
[{the, sequence} apps: 2]
[{branches, to} apps: 3]
[{of, cast} apps: 7]
[{412, 419} apps: 3]
[{suggestions, for} apps: 10]
[{preserved, there} apps: 1]
[{of, sight} apps: 43]
[{his, mss} apps: 6]
[{certainty, the} apps: 1]
[{task, of} apps: 2]
[{methods, of} apps: 10]
[{restorations, to} apps: 1]
[{are, long} apps: 1]
[{dealt, with} apps: 2]
[{dell, acqua} apps: 8]
[{into, two} apps: 8]
[{perspective, 40} apps: 2]
[{of, the} apps: 4417]
[{of, the} apps: 4417]
[{to, this} apps: 98]
[{of, the} apps: 4417]
[{to, remain} apps: 6]
[{the, effect} apps: 27]
[{this, eagerness} apps: 1]
[{tratto, di} apps: 1]
[{already, proved} apps: 2]
[{france, paris} apps: 2]
[{and, choice} apps: 2]
[{to, us} apps: 21]
[{with, regard} apps: 34]
[{rather, than} apps: 18]
[{and, shade} apps: 106]
[{not, merely} apps: 13]
[{for, the} apps: 289]
[{history, of} apps: 20]
[{out, his} apps: 7]
[{for, a} apps: 76]
[{have, hardly} apps: 2]
[{within, this} apps: 2]
[{distribution, of} apps: 14]
[{circumstances, that} apps: 1]
[{only, for} apps: 6]
[{to, mr} apps: 1]
[{within, this} apps: 2]
[{owners, of} apps: 1]
[{shadows, 183} apps: 2]
[{care, and} apps: 3]
[{411, the} apps: 2]
[{of, colours} apps: 24]
[{shade, on} apps: 11]
[{of, paris} apps: 4]
[{dates, indeed} apps: 1]
[{portion, of} apps: 92]
[{bandino, s} apps: 2]
[{page, will} apps: 2]
[{devoted, especial} apps: 1]
[{shade, 548} apps: 2]
[{i, do} apps: 18]
[{to, repeat} apps: 5]
[{da, vinci} apps: 60]
[{that, it} apps: 150]
[{moto, e} apps: 2]
[{disk, by} apps: 1]
[{dependent, on} apps: 3]
[{early, part} apps: 2]
[{86, 88} apps: 2]
[{in, almost} apps: 2]
[{be, no} apps: 28]
[{beginning, a} apps: 1]
[{of, the} apps: 4417]
[{io, ho} apps: 3]
[{i, will} apps: 56]
[{the, earl} apps: 2]
[{sforza, monument} apps: 7]
[{notes, and} apps: 6]
[{who, is} apps: 25]
[{rules, 289} apps: 2]
[{of, the} apps: 4417]
[{on, chemical} apps: 3]
[{of, minor} apps: 2]
[{of, paris} apps: 4]
[{the, law} apps: 10]
[{most, cases} apps: 1]
[{473, light} apps: 1]
[{to, repeat} apps: 5]
[{and, popular} apps: 1]
[{others, which} apps: 3]
[{and, with} apps: 64]
[{indicated, and} apps: 2]
[{wholly, wanting} apps: 1]
[{the, other} apps: 242]
[{keeper, of} apps: 2]
[{of, colours} apps: 24]
[{necessary, in} apps: 6]
[{to, represent} apps: 41]
[{how, to} apps: 45]
[{di, bandino} apps: 5]
[{and, shade} apps: 106]
[{intensity, of} apps: 4]
[{to, the} apps: 1381]
[{in, the} apps: 1787]
[{in, the} apps: 1787]
[{forward, the} apps: 8]
[{perspective, of} apps: 24]
[{of, different} apps: 13]
[{by, both} apps: 6]
[{for, an} apps: 9]
[{not, merely} apps: 13]
[{a, tempest} apps: 7]
[{21, 23} apps: 4]
[{when, viewing} apps: 1]
[{and, use} apps: 5]
[{l, institut} apps: 6]
[{the, reciprocal} apps: 2]
[{when, i} apps: 15]
[{movement, of} apps: 25]
[{67, that} apps: 1]
[{or, by} apps: 15]
[{manuscripts, and} apps: 6]
[{107, 109} apps: 2]
[{and, shade} apps: 106]
[{be, accounted} apps: 1]
[{of, digging} apps: 1]
[{of, free} apps: 1]
[{in, the} apps: 1787]
[{leighton, p} apps: 1]
[{of, the} apps: 4417]
[{it, is} apps: 689]
[{nevertheless, no} apps: 1]
[{fragmentary, the} apps: 1]
[{the, passage} apps: 38]
[{to, monsieur} apps: 2]
[{photo, gravures} apps: 1]
[{human, body} apps: 11]
[{hoping, to} apps: 3]
[{tenour, of} apps: 1]
[{by, experiment} apps: 14]
[{structure, of} apps: 14]
[{an, index} apps: 1]
[{relations, of} apps: 6]
[{s, handwriting} apps: 2]
[{ms, c} apps: 23]
[{has, since} apps: 2]
[{is, to} apps: 158]
[{a, guiding} apps: 2]
[{and, the} apps: 1034]
[{bell, while} apps: 1]
[{be, permitted} apps: 1]
[{are, combined} apps: 1]
[{colours, in} apps: 13]
[{execution, of} apps: 2]
[{of, the} apps: 4417]
[{and, head} apps: 6]
[{almost, inexplicable} apps: 1]
[{of, the} apps: 4417]
[{in, rude} apps: 1]
[{effects, of} apps: 15]
[{in, which} apps: 136]
[{and, 27th} apps: 1]
[{remarks, 128} apps: 2]
[{1971, these} apps: 1]
[{of, perception} apps: 3]
[{all, the} apps: 238]
[{106, on} apps: 1]
[{107, 109} apps: 2]
[{the, words} apps: 25]
[{representations, referring} apps: 2]
[{be, rash} apps: 4]
[{reverent, admirers} apps: 1]
[{books, on} apps: 11]
[{295, 297} apps: 2]
[{task, the} apps: 1]
[{the, leaf} apps: 19]
[{with, his} apps: 46]
[{on, the} apps: 988]
[{possible, to} apps: 25]
[{restorations, to} apps: 1]
[{of, some} apps: 35]
[{127, general} apps: 1]
[{on, the} apps: 988]
[{the, foot} apps: 69]
[{whole, out} apps: 1]
[{tratto, di} apps: 1]
[{one, time} apps: 3]
[{iv, of} apps: 3]
[{series, vol} apps: 1]
[{by, leonardo} apps: 63]
[{all, leonardo} apps: 4]
[{built, up} apps: 3]
[{as, a} apps: 112]
[{s, handwriting} apps: 2]
[{their, exceptional} apps: 1]
[{a, man} apps: 138]
[{original, texts} apps: 3]
[{proportions, of} apps: 38]
[{than, they} apps: 7]
[{to, the} apps: 1381]
[{already, proved} apps: 2]
[{for, this} apps: 34]
[{reading, speaking} apps: 1]
[{that, notwithstanding} apps: 1]
[{general, remarks} apps: 4]
[{the, human} apps: 41]
[{remarks, 128} apps: 2]
[{392, viii} apps: 1]
[{183, 187} apps: 2]
[{vol, i} apps: 41]
[{as, dependent} apps: 2]
[{vasari, says} apps: 1]
[{june, 26} apps: 1]
[{lamented, this} apps: 1]
[{arrangement, of} apps: 29]
[{1971, these} apps: 1]
[{demonstration, of} apps: 7]
[{his, intentions} apps: 1]
[{author, s} apps: 7]
[{complications, in} apps: 2]
[{work, of} apps: 17]
[{understand, them} apps: 3]
[{at, windsor} apps: 25]
[{the, object} apps: 134]
[{263, 271} apps: 1]
[{of, forms} apps: 7]
[{far, more} apps: 6]
[{truth, is} apps: 4]
[{the, growth} apps: 4]
[{of, leonardo} apps: 78]
[{a, well} apps: 6]
[{introductions, to} apps: 2]
[{separate, halves} apps: 1]
[{if, you} apps: 264]
[{museum, mr} apps: 1]
[{classification, of} apps: 5]
[{thirty, years} apps: 3]
[{for, the} apps: 289]
[{in, itself} apps: 42]
[{any, rate} apps: 13]
[{pages, the} apps: 2]
[{introduction, prolegomena} apps: 2]
[{paragraphs, appear} apps: 1]
[{spectator, 540} apps: 2]
[{colours, 435} apps: 2]
[{natural, phenomena} apps: 4]
[{favour, which} apps: 1]
[{may, not} apps: 45]
[{that, is} apps: 281]
[{di, braccio} apps: 2]
[{built, up} apps: 3]
[{s, text} apps: 1]
[{their, chaotic} apps: 1]
[{is, frequently} apps: 1]
[{through, holes} apps: 3]
[{454, 457} apps: 1]
[{inventions, and} apps: 2]
[{and, shadow} apps: 16]
[{owe, to} apps: 3]
[{stood, in} apps: 2]
[{assistance, in} apps: 1]
[{204, on} apps: 1]
[{arbitrarily, divide} apps: 1]
[{123, 125} apps: 2]
[{of, mss} apps: 4]
[{were, derived} apps: 3]
[{for, painters} apps: 6]
[{cannot, understand} apps: 1]
[{no, man} apps: 3]
[{656, aphorisms} apps: 1]
[{the, pen} apps: 18]
[{of, the} apps: 4417]
[{image, depends} apps: 2]
[{litta, famiglie} apps: 1]
[{be, rash} apps: 4]
[{much, more} apps: 19]
[{that, the} apps: 462]
[{exceptions, to} apps: 1]
[{205, reflection} apps: 1]
[{for, that} apps: 9]
[{of, light} apps: 145]
[{on, the} apps: 988]
[{from, the} apps: 826]
[{the, relative} apps: 27]
[{in, their} apps: 77]
[{the, rainbow} apps: 11]
[{sheets, the} apps: 1]
[{of, the} apps: 4417]
[{natural, phenomena} apps: 4]
[{the, royal} apps: 10]
[{and, extensively} apps: 1]
[{present, day} apps: 6]
[{aldarondo, and} apps: 1]
[{it, seems} apps: 41]
[{574, 576} apps: 2]
[{years, duration} apps: 1]
[{on, the} apps: 988]
[{for, which} apps: 7]
[{this, is} apps: 187]
[{577, 581} apps: 2]
[{wherefore, i} apps: 2]
[{the, methods} apps: 3]
[{of, the} apps: 4417]
[{in, the} apps: 1787]
[{nature, 651} apps: 2]
[{the, arm} apps: 52]
[{had, already} apps: 8]
[{they, are} apps: 216]
[{were, only} apps: 3]
[{393, the} apps: 1]
[{379, on} apps: 1]
[{the, human} apps: 41]
[{them, bring} apps: 1]
[{text, of} apps: 21]
[{and, general} apps: 1]
[{found, on} apps: 4]
[{the, page} apps: 17]
[{the, analytical} apps: 1]
[{the, function} apps: 13]
[{powers, by} apps: 1]
[{with, considerable} apps: 1]
[{on, the} apps: 988]
[{s, essays} apps: 1]
[{von, humboldt} apps: 2]
[{own, time} apps: 3]
[{of, light} apps: 145]
[{assigned, to} apps: 3]
[{different, colours} apps: 3]
[{understand, them} apps: 3]
[{which, o} apps: 2]
[{pictures, 577} apps: 2]
[{literary, labours} apps: 2]
[{more, particularly} apps: 2]
[{theories, is} apps: 1]
[{be, the} apps: 135]
[{built, up} apps: 3]
[{is, superior} apps: 4]
[{comp, litta} apps: 1]
[{into, english} apps: 1]
[{in, cast} apps: 2]
[{of, poetry} apps: 1]
[{637, on} apps: 1]
[{337, the} apps: 2]
[{the, effect} apps: 27]
[{of, light} apps: 145]
[{the, order} apps: 25]
[{years, within} apps: 1]
[{on, the} apps: 988]
[{le, quali} apps: 3]
[{appreciated, this} apps: 1]
[{39, and} apps: 2]
[{at, ashburnham} apps: 1]
[{126, 127} apps: 2]
[{when, i} apps: 15]
[{but, from} apps: 10]
[{numerous, separate} apps: 1]
[{necessity, of} apps: 5]
[{and, popular} apps: 1]
[{the, intersection} apps: 17]
[{di, bandino} apps: 5]
[{give, us} apps: 7]
[{perspective, gradations} apps: 2]
[{down, to} apps: 20]
[{at, the} apps: 466]
[{read, the} apps: 3]
[{1, translated} apps: 1]
[{british, museum} apps: 6]
[{series, by} apps: 1]
[{of, light} apps: 145]
[{of, the} apps: 4417]
[{at, the} apps: 466]
[{of, forms} apps: 7]
[{the, leaf} apps: 19]
[{on, the} apps: 988]
[{i, wanted} apps: 1]
[{arrangement, of} apps: 29]
[{of, the} apps: 4417]
[{of, nearly} apps: 1]
[{on, water} apps: 12]
[{system, and} apps: 1]
[{came, within} apps: 1]
[{should, have} apps: 22]
[{530, on} apps: 1]
[{of, trees} apps: 46]
[{how, to} apps: 45]
